key,dsb,hsb
report_reporttypes_0,"se mě njespódoba.","so mi njelubi"
report_reporttypes_1,"pšawniske wopśimjeśe z. z. B. syćDG","prawniski wobsah w. z. w. NetzDG"
report_reporttypes_2,"spam","spam"
report_reporttypes_3,"góspodnosć abo seksualne jadnanja","nahosć abo seksualne jednanja"
report_reporttypes_4,"scam abo wobšuźenja","scam abo wobšudźenja"
report_reporttypes_5,"marc abo symbole gramoty","marěč abo symbole hidy"
report_reporttypes_6,"wopacne informacije","wopačne informacije"
report_reporttypes_7,"mobbing abo wobśěžkowanje","mobbing abo wobćežowanje"
report_reporttypes_8,"namóc abo tšašne organizacije","namóc abo strašne organizacije"
report_reporttypes_9,"pśejźenje pśeśiwo pšawam na duchownem swójstwje","přeńdźenje přećiwo prawow na duchownym swójstwje"
report_reporttypes_10,"pśedań ilegalnych wórow","předań ilegalnych tworow"
report_reporttypes_11,"suicid abo samopóranja","suicid abo samozhranjenja"
report_reporttypes_12,"druge","druhe"
auth_errormsg_0,"Sy južo pśizjawjony! Startuj nałoženje znowego!","Sy hižo přizjewjeny! Startuj aplikaciju znowa!"
auth_errormsg_1,"Twóje daty wužywaju se južo za druge konto!","Twoje daty so hižo za druhi konto wužija!"
auth_errormsg_2,"Twója e-mail se južo za druge konto wužywa!","Twoja email so hižo za druhi konto wužija!"
auth_errormsg_3,"Zmólka wót serwera!","Zmylk wot serwera!"
auth_errormsg_4,"Wužywarja njedajo!","Wužiwarja njedawa!"
auth_errormsg_5,"Zapódana email njeeksistěrujo!","Zapodata email njeeksistuje!"
auth_errormsg_6,"Twóje zapódane daty su wopak!","Twoje zapodate daty su wopak!"
auth_errormsg_7,"Twója email hyšći njejo certificěrowana!","Twoja email njeje hišće werifikowana!"
auth_errormsg_8,"Zapódanego wužywarja njedajo!","Zapodateho wužiwarja njedawa!"
auth_errormsg_9,"Zapódany wužywaŕ njama pśistup ku kostrjancoju!","Zapodaty wužiwar nima přistup na kostrjanc!"
auth_errormsg_10,"Apparacija jo južo aktiwna. Startuj nałoženje znowego!","Aplikacija je hižo aktiwna. Startuj aplikaciju znowa!"
auth_errormsg_11,"Zapódaj email!","Zapodaj jednu email!"
event_types_0,"wiki / wustajeńca","wiki/wustajeńca"
event_types_1,"schadow. / zgromaź.","schadźow./zhromadź."
event_types_2,"jubilej / swěźeń","jubilej/swjedźeń"
event_types_3,"team / załožbowy ewent","teamowy/załožbowy ewent"
event_types_4,"seminar / webinar / workshop","seminar/webinar/workshop"
event_types_5,"party / barcamp","party/barcamp"
event_types_6,"festiwal","festiwal"
event_types_7,"cerkwiny swěźeń","cyrkwinski swjedźeń"
event_types_8,"drugi","druhi"
event_tags_0,"p16","p16"
event_tags_1,"p18","p18"
event_tags_2,"'maśenik'","'Muttizettel'"
event_tags_3,"narodniny","narodniny"
event_tags_4,"dermotny zastup","darmotny zastup"
event_tags_5,"zymne piwo","zymne piwo"
event_tags_6,"Shisha","Shisha"
event_tags_7,"mjazynarodne","mjezynarodne"
event_tags_8,"Kuždy jo witany!","Kóždy je witany!"
event_tags_9,"źěło","dźěło"
event_tags_10,"swajźba","kwas"
event_tags_11,"DJ","DJ"
event_tags_12,"catering","Catering"
event_tags_13,"gronidło","Business"
event_tags_14,"wejsny klub","wjesny klub"
event_tags_15,"alkohol","alkohol"
event_tags_16,"njealkoholiske","njealkoholiske"
event_tags_17,"tocyte piwo","točene piwo"
event_tags_18,"slobrana swajźba","slěborny kwas"
event_tags_19,"złota swajźba","złoty kwas"
event_tags_20,"16","16"
event_tags_21,"Wósymnasćo","18"
event_tags_22,"20","20"
event_tags_23,"30","30"
event_tags_24,"40","40"
event_tags_25,"50","50"
event_tags_26,"60","60"
event_tags_27,"100","100"
event_tags_28,"wobswět","přiroda"
event_tags_29,"zwěrina","zwěrina"
event_tags_30,"live muzika","live hudźba"
event_tags_31,"priwatne","priwatne"
event_tags_32,"Jano z pśepšosenim","Jenož z přeprošenjom"
event_tags_33,"zgromadnosć","zhromadnosć"
event_tags_34,"wiki","wiki"
event_tags_35,"gódy","hody"
event_tags_36,"jatšy","jutry"
event_tags_37,"prozniny","prózdniny"
event_tags_38,"lěśe","lěćo"
event_tags_39,"spiwaś","spěwać"
event_tags_40,"computer","computer"
event_tags_41,"online","online"
event_tags_42,"offline","offline"
event_tags_43,"scouty","scouty"
yes,"jo","Haj"
no,"ně","Ně"
continue,"dalej","Dale"
link_title,"Link wócyniś?","Link wočinić?"
link_sec,"Coš se na eksterny bok dalej wjasć daś?","Chceš so na eksternu stronu dale wodźić dać?"
hint_title,"Tip:","Pokiw:"
input_entertitle_email,"E-mail zapódaś:","Email zapodać:"
input_entertitle_password,"Šćitne gronidło zapódaś:","Hesło zapodać:"
input_entertitle_passwordconfirm,"Šćitne gronidło wóspjetowaś:","Hesło wospjetować:"
input_placeholder_email,"e-mail","Email"
input_placeholder_password,"gronidło","Hesło"
input_placeholder_username,"wužywarske mě","Wužiwarske mjeno"
input_placeholder_description,"Dodaj informacije...","Dodaj informacije..."
input_placeholder_search,"Pytaj něco...","Pytaj něšto..."
input_placeholder_entercomment,"Zapódaj komentar...","Zapodaj komentar..."
input_placeholder_contentname,"titel","Titul"
input_placeholder_groupname,"mě kupki","Mjeno skupiny"
newcomment_type,"Piš něco...","Pisaj něšto..."
comment_title,"Komentar wótwónoźeś?","Komentar wotstronić?"
comment_sub_0,"Komentar wót","Komentar wot"
comment_sub_1,"Napšawdu wótpóraś?","woprawdźe wotstronić?"
checkbtn_check,"Ja som pśipódla!","Ja sym pódla!"
checkbtn_uncheck,"Njejsom wěcej pódla.","Njejsym wjac pódla."
followbtn_follow,"Slědowaś","Sćěhować"
followbtn_unfollow,"Wótpóraś","Wotstronić"
share_share_0,"źělenje wót","Dźělenje wot"
share_share_1,"z titelom","z titulom"
share_share_2,"Bok se wótcynijo wy seśi. Až dostanjoš wšykne funkcije a lěpšu zwobraznosć instalěruj se kostrjanc App na twójom barceńku!","Strona so wočini wy syći. Zo dóstanješ wšitke funkcije a lěpšu zwobrazliwosć instaluj sej kostrjanc App na twojim šmóratku!"
share_share_post,"post","posta"
share_share_event,"ewenta","ewenta"
share_error_title,"Zmólka pśi źělenju.","Zmylk při dźělenju."
share_error_sub,"Źělenje njejo było wuspěšne. Zmólka:","Dźělenje njebě wuspěšnje. Zmylk:"
help_links_0,"Woglědaj źe se raz k kostrjanc.de, našomu bokoju w interneśe!","Wopytaj tola raz kostrjanc.de, našu stronu w interneće!"
help_links_1,"Maš pšašanja?Pón woglědaj se nas k kostrjanc.de a pšašaj se!","Maš prašenja?
Potom wopytaj kostrjanc.de a woprašej so nas!"
help_links_2,"Sy namakał zmólku, pótom pśizjaw se pšosym pla nas!","Sy zmylk namakał, potom přizjeł so prošu pola nas!"
help_links_3,"Coš na kóstśělc wabiś?Pśizjaw se pód linkom!","Chceš na kostrjanc wabić?
Přizjew so pod linkom!"
